nume,tip
ALTEX,electrocasnice
ANA TELEFERIC,leisure
CABANA,leisure
CARTURESTI,culture
CATENA,health
CFR,transport
CLINICA,health
COFFE,coffee
COFFEE,coffee
EMAG,shopping
ENEL,services
ENGIE,services
GHISEUL.RO,services
Glovo,food
H&M,clothes
INMEDIO,
INTERSPORT,sport
JUMBO,
KAUFLAND,hypermarket
KFC,food
LC WAIKIKI,clothes
LIDL,hypermarket
MARKET,
MCDONALD'S,food
MEGAIMAGE,hypermarket
METROREX,transport
MOBILPAY,
MOBILPAY*AMPARCAT,transport
MOBILPAY*EVENTBOOK,culture
MOBILPAY*GALANTOM,donatie
MOL,benzinarie
OMV,benzinarie
ORANGE.RO,telecom
PARCARE,transport
PAYU,
PAYU*EMAG.RO/MARKETPLACE,electrocasnice
PAYU*PORTAL.TPARK.RO,transport
PAYU*VODAFONE.RO,telecom
PENNY,hypermarket
PROFI,hypermarket
RCS AND RDS,services
RESTAURANT,food
Revolut,financiar
ROMPETROL,benzinarie
SERGIANA,food
SPORT,sport
SPOTIFY,internet subscriptions
STATIE,transport
UBER,transport
